original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,persona
Write code to make a calculator,"Create a program that performs basic arithmetic operations like addition, subtraction, multiplication, and division.",llms,0.18331672251224518,8.844844403089352e-232,0.9637789726257324,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,Develop a simple calculator application that can handle input from users for various mathematical calculations.,llms,0.4424743950366974,1.0832677820940877e-231,0.9785426259040833,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,Construct a code snippet that enables users to input numbers and operators to compute results for standard calculations.,llms,0.577491819858551,1.1484186507842885e-231,0.9770593643188477,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Write a script that functions as a calculator, allowing for the execution of mathematical expressions given by the user.",llms,0.41537487506866455,4.336508547901975e-155,0.9793558120727539,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,Design a tool that accepts numerical input and arithmetic symbols to compute and display the corresponding results.,llms,0.3737918734550476,1.0518351895246305e-231,0.9728169441223145,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,Create a program that performs basic arithmetic operations as a calculator.,llms,0.4568363428115845,5.233427736988301e-155,0.9813663959503174,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Develop a software application capable of executing calculations like addition, subtraction, multiplication, and division.",llms,0.16282358765602112,8.844844403089352e-232,0.9650905728340149,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,Implement a functional calculator that can take user input and display the results of various mathematical computations.,llms,0.4985866844654083,1.0518351895246305e-231,0.9695850610733032,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Design a tool that allows users to carry out fundamental calculations, mimicking the behavior of a traditional calculator.",llms,0.49317702651023865,1.1337861261109773e-231,0.9682051539421082,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,Write a script to build a calculator interface that supports essential math operations and provides the computed output to the user.,llms,0.5946989059448242,4.550160538169341e-155,0.9779142141342163,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,Create a program that functions as a calculator.,llms,0.46909722685813904,6.08970970641905e-155,0.983734130859375,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,Develop a piece of software that performs calculations.,llms,0.20939901471138,1.0518351895246305e-231,0.9830291867256165,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,Design a coding solution to build a calculator.,llms,0.5812265276908875,6.7393716283177006e-155,0.9867836236953735,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,Construct a program that can carry out arithmetic operations.,llms,0.4910958707332611,1.0244914152188952e-231,0.9757475256919861,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,Write a script that simulates the functionality of a calculator.,llms,0.4270680546760559,6.061838450024688e-155,0.9817756414413452,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,Create a task management application that helps users keep track of their to-do items.,llms,0.5744756460189819,9.257324954728539e-232,0.9733878374099731,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Develop a simple application that allows users to add, delete, and view their tasks on a to-do list.",llms,0.5387699007987976,1.1200407237786664e-231,0.9654465913772583,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,Build a to-do list application where users can manage their daily tasks effectively.,llms,0.5620588660240173,1.1200407237786664e-231,0.9791467189788818,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,Construct an app that enables users to organize and prioritize their to-do tasks.,llms,0.559382975101471,1.1200407237786664e-231,0.9680352807044983,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,Design a task organization tool that lets users create and manage a list of things to do.,llms,0.6603201031684875,1.1640469867513693e-231,0.967459499835968,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Create a task management application that allows users to add, edit, and remove to-do items.",llms,0.5031251907348633,1.0518351895246305e-231,0.9656659960746765,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,Develop a simple application to help users manage their daily tasks using a to-do list interface.,llms,0.6406821608543396,1.1808001696991507e-231,0.9788679480552673,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,Implement a todo list software solution that enables users to track their tasks with features for adding and deleting items.,llms,0.518915593624115,2.1732409599540408e-78,0.9741700291633606,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,Design and code an application that facilitates task organization through a user-friendly to-do list.,llms,0.5317113995552063,1.2183324802375697e-231,0.976421594619751,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Construct a to-do list program that allows users to create, modify, and delete their task entries efficiently.",llms,0.5092479586601257,1.1337861261109773e-231,0.9697089195251465,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,Create a program that allows users to manage their tasks in a to-do list format.,llms,0.6578225493431091,1.1988328686372911e-231,0.9782112836837769,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,Develop an application where individuals can organize and track their tasks effectively.,llms,0.32250353693962097,0.0,0.9641610383987427,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,Construct a digital task manager that helps users keep their to-do items in order.,llms,0.6012437343597412,9.257324954728539e-232,0.9733912944793701,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,Build a simple app that enables users to list and check off their daily tasks.,llms,0.5301784873008728,1.2882297539194154e-231,0.9685876369476318,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,Design a tool that allows people to jot down and prioritize their tasks in a to-do list style.,llms,0.6159602403640747,1.1484186507842885e-231,0.966798722743988,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,Create a database schema suitable for managing an online bicycle retail store.,llms,0.7186663746833801,3.908633169762327e-78,0.9845361709594727,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,Develop a database structure to support the operations of an e-commerce site focused on bicycle sales.,llms,0.7144771218299866,5.1945147945938015e-155,0.9813881516456604,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,Construct a relational database model for an online shop specializing in bicycles.,llms,0.7763931751251221,3.5318487635731415e-78,0.9840606451034546,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,Design a database system tailored for an internet-based bicycle retailer.,llms,0.6009274125099182,8.190757052088229e-155,0.9853470921516418,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,Implement a database solution to handle the inventory and sales processes for a bicycle e-commerce platform.,llms,0.7213875651359558,6.1773539527177615e-155,0.974264919757843,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
