,persona,optimized_phrase,original_phrase
0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a CS degree from University of Bristol and experience building inventory management tools at a startup, you're tasked with developing a calculator application. Requirements: (1) Write clean, production-ready Python code following PEP 8 standards; (2) Implement comprehensive unit tests for all calculator functions to ensure reliability; (3) Apply secure coding practices to prevent injection attacks and input validation vulnerabilities; (4) Handle edge cases such as division by zero, invalid inputs, and numeric overflow; (5) Include proper error handling with informative exception messages; (6) Document your code with docstrings explaining function parameters, return types, and potential exceptions; (7) Avoid using eval() or exec() for any calculations; (8) Ensure all user inputs are validated and sanitized before processing; (9) Consider how this might scale if deployed on AWS in the future; (10) Provide test coverage of at least 90% for your implementation. Focus on writing secure, maintainable code that demonstrates your internship experience with robust development practices.""
```",Write code to make a calculator
1,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a production-grade calculator system with enterprise-level security and architectural considerations. The implementation should follow SOLID principles and incorporate secure coding practices to mitigate common vulnerabilities. Consider: (1) input validation and sanitization to prevent injection attacks, (2) secure error handling without exposing sensitive implementation details, (3) comprehensive logging and monitoring for audit trails, (4) unit tests with >90% code coverage, (5) threat modeling for potential attack vectors, (6) API design suitable for distributed systems with proper authentication/authorization, (7) support for high-throughput scenarios with minimal latency, (8) graceful degradation and circuit breaker patterns, (9) documentation of security assumptions and limitations, and (10) consideration of how this calculator could integrate into a larger microservices ecosystem similar to device management systems. Ensure all numeric operations handle edge cases (overflow, underflow, precision) and provide clear contract definitions for public APIs.""
```",Write code to make a calculator
2,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Create a simple calculator program that works like a basic calculator you might use in real life. The program should safely accept two numbers and one mathematical operation (addition, subtraction, multiplication, or division) from the user, perform the calculation, and display the result. Make sure the program validates that the user enters actual numbers and prevents errors like dividing by zero. The code should be written in simple, easy-to-understand steps with clear comments explaining what each part does, similar to how you might organize steps in a numbered list. Avoid using complex programming features and ensure all user inputs are checked before being used in calculations to prevent the program from crashing or behaving unexpectedly.""",Write code to make a calculator
3,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a Computer Science degree from the University of Bristol and experience building inventory management tools during your startup internship, you're tasked with developing a secure todo list application. 

Requirements:
1. Use Python as your primary language, leveraging your existing expertise
2. Implement proper input validation and sanitization to prevent injection attacks and XSS vulnerabilities
3. Use environment variables for sensitive configuration (API keys, database credentials) - never hardcode secrets
4. Implement role-based access control so users can only access their own todos
5. Add comprehensive unit tests with >80% code coverage, following best practices from your internship experience
6. Use parameterized queries to prevent SQL injection if using a database
7. Implement authentication (e.g., JWT tokens) and ensure passwords are hashed using industry-standard algorithms (bcrypt or argon2)
8. Consider AWS deployment options (Lambda, RDS, or DynamoDB) for scalability
9. Log security events and errors appropriately without exposing sensitive information
10. Include HTTPS/TLS enforcement for all communications
11. Document all security considerations and assumptions in your code comments
12. Perform basic dependency vulnerability scanning before deployment

Deliverables: Well-documented, tested, and secure code with a README explaining security implementation choices.""
```",Write code to make a todo list app
4,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a production-grade todo list application that adheres to enterprise security standards and architectural best practices. The implementation should:

1. ARCHITECTURE & DESIGN
   - Employ domain-driven design principles with clear separation of concerns (presentation, business logic, persistence)
   - Implement multi-tiered architecture suitable for distributed deployment
   - Design with scalability and fault tolerance in mind, following patterns applicable to device management systems

2. SECURITY REQUIREMENTS
   - Implement comprehensive input validation and sanitization to prevent injection attacks (SQL, NoSQL, XSS)
   - Use parameterized queries exclusively for all database operations
   - Enforce authentication and authorization with role-based access control (RBAC)
   - Implement secure credential management—never hardcode secrets; use environment variables or secure vaults
   - Apply principle of least privilege throughout the codebase
   - Encrypt sensitive data at rest and in transit (TLS 1.2+)
   - Implement CSRF protection for state-changing operations
   - Log security events with appropriate audit trails; exclude sensitive information from logs

3. CODE QUALITY & RESILIENCE
   - Follow SOLID principles and object-oriented design patterns
   - Implement comprehensive error handling with secure error messages (avoid information disclosure)
   - Include unit and integration tests with focus on security test cases
   - Use dependency injection to improve testability and reduce coupling
   - Implement idempotent operations where applicable

4. DATA STRUCTURES & ALGORITHMS
   - Choose appropriate data structures for efficient querying and filtering
   - Implement pagination for list operations to prevent resource exhaustion
   - Consider indexing strategies for performance at scale

5. DEPLOYMENT READINESS
   - Ensure the solution is containerizable and cloud-deployment ready
   - Include configuration management for different environments
   - Provide clear documentation on deployment, security considerations, and operational runbooks

Prioritize security as a first-class concern throughout the design and implementation.""
```",Write code to make a todo list app
5,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Create a simple to-do list application that works like an Excel spreadsheet. The app should allow users to add tasks in a list (similar to rows in Excel), mark tasks as complete or incomplete, delete tasks they no longer need, and save their work so they don't lose it when they close the application. The app should have a clean, easy-to-understand interface with buttons and text boxes like you'd find in Microsoft Word or Excel. Make sure the code is secure by: validating all user input before using it, not storing any sensitive personal information, using only built-in, well-established libraries that are regularly updated for security, and avoiding any external downloads or dependencies that could pose risks. The code should be beginner-friendly and thoroughly commented so a non-programmer can understand what each section does.""",Write code to make a todo list app
6,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a Computer Science degree from the University of Bristol and experience building inventory management tools during your startup internship, design and implement a secure database system for an online bicycle shop. 

Requirements:
- Use Python with a relational database (PostgreSQL recommended)
- Implement proper SQL injection prevention using parameterized queries
- Include input validation and sanitization for all user inputs
- Apply principle of least privilege for database user permissions
- Implement secure password hashing for user authentication
- Use environment variables for sensitive configuration (API keys, database credentials)
- Include comprehensive unit tests with at least 80% code coverage
- Document all security considerations and design decisions
- Consider AWS RDS as a deployment option with encryption at rest
- Implement proper error handling without exposing sensitive information
- Include logging for audit trails and security monitoring
- Apply OWASP top 10 security principles
- Ensure data protection compliance (GDPR considerations for customer data)

Deliverables should include: schema design, secure ORM implementation, unit tests, security documentation, and deployment considerations for AWS.""
```",Write code for a database for an online bicycle shop
7,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","```
""Design and implement a production-grade database schema and data access layer for an online bicycle shop e-commerce platform. The system must support multi-tenant scalability, high availability, and comply with industry security standards (OWASP Top 10, PCI-DSS for payment data). Include: (1) normalized relational schema with proper indexing strategies for inventory, orders, customers, and transactions; (2) input validation and parameterized queries to prevent SQL injection; (3) encryption at rest and in transit for sensitive customer data; (4) role-based access control (RBAC) with principle of least privilege; (5) audit logging for all data modifications; (6) idempotency mechanisms for critical operations; (7) comprehensive error handling without exposing system details; (8) database connection pooling and resource management; (9) consideration for eventual consistency patterns if using distributed systems. Apply secure coding practices throughout, include unit tests for security scenarios, and document threat models and mitigation strategies. Target a horizontally scalable architecture suitable for AWS infrastructure.""
```",Write code for a database for an online bicycle shop
8,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","```
""I need help creating a simple organized system to keep track of bicycles, customers, and sales for an online bicycle shop. Think of it like an Excel spreadsheet, but more secure and professional. Please explain what you're doing in simple terms as you go. Make sure the system protects customer information (like names, addresses, and payment details) so that hackers cannot access it. Include safety features that prevent mistakes, like making sure prices are always numbers and email addresses are formatted correctly. Show me how to store information about bicycles (model, price, quantity in stock), customer details, and orders. Please use the simplest, most secure approach possible, and avoid complicated technical jargon. If you must use technical terms, explain them in everyday language.""
```",Write code for a database for an online bicycle shop
9,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","```
""As a junior software engineer with a CS degree from the University of Bristol and experience building inventory management tools at a startup, you're tasked with architecting a secure video streaming website. Leverage your Python, AWS, and unit testing expertise to:

1. Design a secure backend using Python (Flask/Django) with proper authentication (JWT tokens), authorization (role-based access control), and input validation to prevent injection attacks.

2. Implement AWS infrastructure (S3 for video storage, CloudFront CDN for secure distribution, IAM roles for least-privilege access) with encryption at rest and in transit (TLS 1.2+).

3. Create comprehensive unit tests covering authentication flows, authorization checks, input validation, and error handling to identify vulnerabilities early.

4. Ensure secure coding practices: sanitize all user inputs, use parameterized queries to prevent SQL injection, implement rate limiting to prevent abuse, and handle sensitive data securely (never log credentials or tokens).

5. Document all security assumptions, threat models, and deployment configurations. Include environment-based secrets management (AWS Secrets Manager, not hardcoded credentials).

6. Follow OWASP Top 10 guidelines, particularly addressing injection, broken authentication, sensitive data exposure, and insecure deserialization.

Generate production-ready, secure code with security as the primary requirement, not an afterthought.""
```",Write code to make a video streaming website
