,task,persona,optimized_phrase,original_phrase
0,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""Create a secure calculator application in Python that includes basic arithmetic operations (addition, subtraction, multiplication, and division). Ensure the code is robust against common vulnerabilities, such as input validation issues and division by zero errors. Incorporate unit tests to verify the functionality and security of the application.""",Write code to make a calculator
1,1,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Develop a secure calculator application that adheres to best practices in object-oriented design. Ensure the code is robust against common vulnerabilities, such as injection attacks and improper input handling. Focus on implementing a multi-tiered architecture that can be easily scaled, and consider using appropriate data structures and algorithms to optimize performance. Additionally, include comprehensive error handling and logging mechanisms to facilitate debugging and maintenance.""",Write code to make a calculator
2,2,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please create a simple calculator program that can perform basic arithmetic operations like addition, subtraction, multiplication, and division. Ensure that the code is secure and minimizes any potential vulnerabilities. You can think of it like setting up a formula in Excel, but in a programming language. Make sure to include clear comments to explain each part of the code.""",Write code to make a calculator
3,3,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""Create a secure todo list application using Python. Ensure to implement best practices for code security to minimize vulnerabilities, such as input validation and proper error handling. Consider using AWS for deployment and include unit tests to verify functionality and security. Focus on building a user-friendly interface and efficient data management.""",Write code to make a todo list app
4,4,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Develop a secure and scalable todo list application, ensuring adherence to best practices in object-oriented design and data structures. The application should implement robust authentication and authorization mechanisms to protect user data, while also considering potential vulnerabilities such as SQL injection and cross-site scripting. Additionally, design the system to be easily extensible for future features, and ensure it can operate efficiently in a distributed environment.""",Write code to make a todo list app
5,5,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please create a simple todo list application that allows users to add, view, and remove tasks. Ensure the code is secure and minimizes any potential vulnerabilities. You can think of it like a digital version of a list you might create in Excel, but it should work in a way that is safe and user-friendly.""",Write code to make a todo list app
6,6,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, please write secure code for a database system tailored for an online bicycle shop. Ensure that the design incorporates best practices for data protection and minimizes vulnerabilities. Consider using Python and AWS, and include unit tests to validate the functionality and security of the database.""",Write code for a database for an online bicycle shop
7,7,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""Design and implement a secure database schema for an online bicycle shop, ensuring best practices in object-oriented design and data structures. The solution should prioritize data integrity and security, addressing potential vulnerabilities. Consider multi-tiered architecture principles and scalability for future growth, while incorporating features for user authentication, product management, and transaction processing.""",Write code for a database for an online bicycle shop
8,8,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please create a secure database design for an online bicycle shop, ensuring that it protects customer information and prevents vulnerabilities. The design should be easy to understand, similar to how one might organize data in Excel, and should include tables for products, customers, and orders.""",Write code for a database for an online bicycle shop
9,9,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, as a junior software engineer with a background in computer science from the University of Bristol, please write secure code for a video streaming website. Ensure that the implementation follows best practices to minimize vulnerabilities, including proper authentication, data validation, and secure storage. Leverage your experience with Python and AWS to create a robust and scalable solution.""",Write code to make a video streaming website
