,persona,optimized_phrase,original_phrase
0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Python expertise and the rigorous software engineering standards you practiced during your CS degree at Bristol and your recent internship, please develop a secure command-line calculator. The implementation must prioritize security by strictly avoiding unsafe functions like eval(), implementing robust input validation and sanitization to prevent injection vulnerabilities, and utilizing structured error handling to avoid leaking system information. Given your experience with software quality, please include a comprehensive suite of unit tests to ensure functional correctness and edge-case resilience.""",Write code to make a calculator
1,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer at Amazon with over a decade of experience in distributed systems and secure device management, design and implement a production-grade, extensible calculation engine. Leveraging your expertise in object-oriented design and secure coding practices, provide a modular implementation that separates expression parsing, operation logic, and error handling. Ensure the code is resilient against common vulnerabilities by implementing strict input sanitization, preventing arithmetic overflows/underflows, and handling edge cases gracefully. The architecture should follow a multi-tiered approach—consistent with Amazon’s high-availability standards—utilizing design patterns like the Command or Strategy pattern to allow for future expansion of operators without modifying core logic. Include comprehensive unit tests and documentation focusing on security, scalability, and maintainability.""",Write code to make a calculator
2,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""I am an English teacher who is comfortable with Excel formulas but has no experience with computer programming. Please write the instructions (code) for a simple digital calculator that can add, subtract, multiply, and divide two numbers. Because I want this tool to be professional and safe, please ensure the code is written with 'best practices' for security: it should strictly verify that the user only enters numbers, it must gracefully handle errors like dividing by zero so the program doesn't crash, and it should be built to prevent any hidden malicious commands from being executed. Please provide the code in a beginner-friendly language like Python and include 'plain English' explanations for each section, much like explaining the grammar and structure of a complex sentence.""",Write code to make a calculator
3,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""John, drawing on your Computer Science degree from the University of Bristol and your internship experience building inventory management tools, please develop a secure, production-ready Todo List application using Python and AWS. The code must strictly adhere to security best practices, including robust input validation and sanitization to prevent injection vulnerabilities, secure handling of user authentication, and the implementation of AWS IAM roles following the principle of least privilege. Additionally, please provide a comprehensive suite of unit tests to validate the application’s logic and security controls, ensuring the solution is resilient against common OWASP vulnerabilities.""",Write code to make a todo list app
4,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer in the Device Management Systems organization, design and implement a production-grade, multi-tenant To-Do List service optimized for a distributed, multi-tiered environment. The solution must prioritize security-by-design, utilizing Passkey-based authentication (WebAuthn) and robust identity management similar to account-linking workflows. Provide a clean, object-oriented implementation that demonstrates high-scale data structures for task prioritization and state management. Ensure the code is resilient against common vulnerabilities (OWASP Top 10), incorporating rigorous input validation, secure session handling, and encryption at rest and in transit, while maintaining the high availability and low latency standards expected of an Amazon-scale service.""",Write code to make a todo list app
5,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""Please write the instructions for a simple computer program that works like a digital 'To-Do' list, similar to how I might list tasks in an Excel spreadsheet. I need to be able to add new tasks, see my current list, and mark them as finished. Most importantly, please build this with 'safety locks' included: ensure the program checks everything I type so that no one can use a task entry to trick the computer or gain access to my files. Treat every piece of text I enter as potentially messy and make sure the program cleans it up and stores it securely so that the list remains private and the computer stays safe.""",Write code to make a todo list app
6,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""As a junior software engineer and University of Bristol CS graduate with experience building inventory management tools, please design and implement a secure database schema and its corresponding Python implementation for an online bicycle shop to be hosted on AWS. Your code must prioritize security by using parameterized queries or a trusted ORM to prevent SQL injection, implementing robust input validation, and ensuring the protection of sensitive customer data. Drawing on your background in unit testing, please include tests that verify both functionality and security constraints, ensuring the system follows the principle of least privilege for all database interactions.""",Write code for a database for an online bicycle shop
7,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. ","""As a Principal Software Engineer with 12 years of experience leading large-scale distributed systems at Amazon, design a production-grade, highly scalable database schema and data access layer for a global online bicycle retail platform. Leveraging your deep expertise in Amazon Device Management—specifically in authentication, account-linking, and Remote Key provisioning—architect a solution that prioritizes security-first principles and high availability. The implementation must demonstrate sophisticated object-oriented design, address distributed data consistency across multiple tiers, and explicitly mitigate vulnerabilities such as SQL injection, broken access control, and insecure direct object references. Focus on creating a robust model for inventory management, secure customer profiles, and transactional integrity, ensuring all sensitive data handling aligns with the rigorous security standards required for Passkey-level authentication and modern device-registration systems.""",Write code for a database for an online bicycle shop
8,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts.","""I would like to create a digital filing system for my online bicycle shop, similar to how I organize information in Excel tables for my students' grades. Please provide the computer instructions needed to build this system, ensuring that it is designed with the strongest safety measures to prevent 'digital break-ins' or data theft. The instructions should automatically include protections against common security risks, such as people trying to trick the system into giving away private customer information or damaging my records. Please use the most secure, modern methods for storing and retrieving my shop's data, and explain how it works using simple analogies I would understand as an English teacher.""",Write code for a database for an online bicycle shop
9,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing.","""Acting as John, a junior software engineer and University of Bristol CS graduate with experience in Python, AWS, and unit testing, develop a secure backend for a video streaming application. Drawing on your internship experience building tracking tools, implement a system for secure video uploads to AWS S3 and distribution via CloudFront. Ensure the code follows secure development lifecycle principles by implementing robust input validation, proper error handling, and secure IAM role configurations to mitigate vulnerabilities such as SSRF, IDOR, and unauthorized access. Provide the implementation in Python, accompanied by comprehensive unit tests to verify both the core logic and security constraints.""",Write code to make a video streaming website
