original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,persona
Write code to make a calculator,"Implement a program that takes mathematical expressions as input and returns the calculated result, supporting standard arithmetic operations.",llms,0.333319694,8.61e-232,0.969176948,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Develop a software component that provides basic arithmetic operations (addition, subtraction, multiplication, division). The component should accept numerical inputs and return the calculated result.",llms,0.276420802,7.72e-232,0.964921951,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Could you create a set of instructions that a computer can follow to perform basic arithmetic operations, like addition, subtraction, multiplication, and division? The program should take numbers as input from the user, let them choose the operation they want to perform, and then display the result clearly on the screen.",llms,0.56963557,7.82e-232,0.96365267,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"Create a Python application that allows users to add, remove, and view tasks in a todo list, storing the data in a simple text file.",llms,0.55293566,1.69e-78,0.971067607,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Develop a multi-tiered application providing CRUD (Create, Read, Update, Delete) operations for managing a user's todo items. Include persistent storage, a user interface, and API endpoints for accessing and manipulating the data.",llms,0.335258991,8.509999999999999e-232,0.962164462,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Could you create the instructions for a simple program that lets a person keep track of their tasks? It should allow them to add new tasks, mark tasks as completed, and see what's still left to do.",llms,0.578810751,8.509999999999999e-232,0.959610939,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,"Create a database schema and associated code to model the core entities of an online bicycle shop, including bicycles, components, customers, and orders, suitable for storing and retrieving data efficiently.",llms,0.416555941,0.082026493,0.973766685,0.082026482,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,"Design a relational database schema, including tables for products, customers, orders, and inventory, optimized for an e-commerce platform selling bicycles. Include appropriate data types, primary keys, foreign keys, and indexes to ensure efficient querying and data integrity. Consider relationships like one-to-many (e.g., customer to orders) and many-to-many (e.g., products to orders). Provide the DDL (Data Definition Language) statements (e.g., SQL) to create the database.",llms,0.34725219,2.4e-155,0.957636654,0.0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code for a database for an online bicycle shop,"Could you create the digital plans for organizing all the information – like bikes for sale, customer details, and orders – that a website selling bicycles would need? Imagine a well-organized filing cabinet, but for a computer.",llms,0.55080986,3.05e-155,0.971059263,0.0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a video streaming website,"Develop a web application using Python that allows users to stream video content. The application should handle video uploads, storage (ideally leveraging AWS S3 or similar), and playback via a web interface. Consider incorporating features for user authentication and video categorization.",llms,0.554617226,9.11e-232,0.964110911,0.0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
